,"Mental hospitals (per 100,000)","Mental health units in general hospitals (per 100,000)","Mental health units in general hospitals (per 100,000)","Mental health units in general hospitals (per 100,000)","Mental health units in general hospitals (per 100,000)","Mental health units in general hospitals (per 100,000)","Mental health units in general hospitals (per 100,000)","Mental health units in general hospitals (per 100,000)","Mental health outpatient facilities (per 100,000)","Mental health day treatment facilities (per 100,000)","Community residential facilities (per 100,000)"
Country,2011,2010,2009,2008,2007,2006,2005,2004,2011,2011,2011
Afghanistan,0,,,,,,2,,0.07,0,0
Albania,0.06,,,,58,,,,0.63,0.09,0.28
Algeria,0.04,,549,,,,,,1.21,0.05,
Andorra,0,6,,,,,,,2.31,3.46,2.31
Angola,0.01,4,,,,,,,0.01,,
Antigua and Barbuda,1.13,1,,,,,,,10.16,1.13,0
Argentina,0.13,,,,,,,,,,
Armenia,0.32,,125,,,,,,0.87,0.13,0
Australia,0.07,,,2745,,,,,4.65,,0.66
Austria,0.08,,1653,,,,,,,0.29,3.05
Azerbaijan,0.12,,454,,,,,,0.08,0.06,0.08
Bahamas,,,,,,,,,,,
Bahrain,0.12,,66,,,,,,0.62,0.25,0
Bangladesh,0,,120,,,,,,0.04,0,0.01
Barbados,0.39,,,,11,,,,5.46,0,0.39
Belarus,0.15,,841,,,,,,0.15,0.26,
Belgium,0.64,,,,,,,,0.83,1.27,
Belize,0,,3,,,,,,2.88,0,0.32
Benin,0.02,,,,13,,,,0.16,0,0.04
Bhutan,0,,2,,,,,,4.38,0,0
Bolivia (Plurinational State of),0.09,,104,,,,,,0.39,0.12,0.01
Bosnia and Herzegovina,0.16,,,186,,,,,1.36,0.13,0.05
Botswana,0.1,5,,,,,,,0.86,0,0
Brazil,0.11,,6003,,,,,,0.44,0.79,0.29
Brunei Darussalam,0,,2,,,,,,1.47,0.74,0
Bulgaria,0.16,,506,,,,,,5.04,,3.43
Burkina Faso,,,,7,,,,,0,0,
Burundi,0.01,1,,,,,,,0.04,0.04,0.01
Cabo Verde,0,,7,,,,,,4.68,,
Cambodia,0,,,35,,,,,0.42,0.01,0
Cameroon,0.01,5,,,,,,,0.05,,0.03
Canada,,,,4272,,,,,,,
Central African Republic,0,,1,,,,,,0.02,0,0
Chad,0,1,,,,,,,0.01,0,0
Chile,0.02,,1000,,,,,,0.79,0.26,1
China,0.06,,17204,,,,,,,,
Colombia,,,,,,,,,,,
Comoros,0,,1,,,,,,0,0.43,0
Congo,0,,1,,,,,,0,,
Cook Islands,0,,,,,,,,10.03,5.02,0
Costa Rica,0.04,,108,,,,,,0.82,0.04,0.75
C̫te d'Ivoire,0.01,35,,,,,,,0.04,0.02,0.01
Croatia,0.16,,,452,,,,,3.38,0.41,
Cuba,0.21,,1216,,,,,,3.59,0.42,
Cyprus,0.11,,60,,,,,,4.09,0.57,0.11
Czechia,0.18,,,1234,,,,,7.92,0.74,
Democratic People's Republic of Korea,,,,,,,,,,,
Democratic Republic of the Congo,0.01,,45,,,,,,0,0,0
Denmark,,,774,,,,,,,,
Djibouti,,,,,,,,,,,
Dominica,0,,,,2,,,,19.54,0,0
Dominican Republic,0.01,,136,,,,,,0.58,0.01,0.01
Ecuador,0.04,138,,,,,,,0.26,,
Egypt,0.04,457,,,,,,,0.11,0,
El Salvador,0.02,10,,,,,,,0.16,0,
Equatorial Guinea,,,,,,,,,,,
Eritrea,0.02,,0,,,,,,0.06,0,0
Estonia,0.37,181,,,,,,,,0.22,
Eswatini,0.08,,2,,,,,,0,0.83,0
Ethiopia,0,,36,,,,,,0.07,0,0
Fiji,0.12,,,,2,,,,0.12,0,0
Finland,0.04,,,1500,,,,,2.62,,9.02
France,0.6,,,14000,,,,,5.75,3.5,12.76
Gabon,0.07,,,4,,,,,0.13,0,0
Gambia,0.06,,3,,,,,,1.6,0,0
Georgia,0.14,,290,,,,,,0.47,0.07,0
Germany,0.33,,,,,,,,30.32,0.61,
Ghana,0.02,,16,,,,,,0.16,0.01,0.01
Greece,0.08,,,1440,,,,,1.32,0.4,1.31
Grenada,0.96,,,,2,,,,4.79,,0
Guatemala,0.02,,85,,,,,,0.28,0.01,0.08
Guinea,0,,3,,,,,,0,0.02,0
Guinea-Bissau,0,,,,,,,,0.06,0,0
Guyana,0.13,,4,,,,,,0.26,0,0
Haiti,0.02,20,,,,,,,0.02,0,0
Honduras,0.03,,,,59,,,,,0.01,
Hungary,0.03,,650,,,,,,8.01,0.29,
Iceland,,,65,,,,,,2.73,2.13,17.31
India,0,,3656,,,,,,0.33,0,0
Indonesia,0.02,33,,,,,,,,,
Iran (Islamic Republic of),0.05,,1120,,,,,,1.43,0.12,0.11
Iraq,0.01,,84,,,,,,0.11,0,0
Ireland,0.78,278,,,,,,,,,
Israel,0.19,600,,,,,,,1.24,0.3,3.54
Italy,0,,4693,,,,,,1.43,1.34,2.71
Jamaica,0.29,,30,,,,,,5.09,0.33,0.48
Japan,0.84,,,,12829,,,,2.31,1.05,1.57
Jordan,0.03,,70,,,,,,0.99,0.02,0.02
Kazakhstan,0.2,,986,,,,,,0.2,0.1,0
Kenya,,76,,,,,,,,,
Kiribati,1,,,,,,,,1,0,0
Kuwait,0.03,80,,,,,,,0.82,0.03,
Kyrgyzstan,0.09,,195,,,,,,0.05,0.07,0.22
Lao People's Democratic Republic,0,,,,,,,,0.05,0,0
Latvia,0.27,,243,,,,,,3.35,0.22,
Lebanon,0.07,,,60,,,,,0.24,0,0.16
Lesotho,0.05,,1,,,,,,0.53,0,0
Liberia,,,,1,,,,,0.02,,
Libya,,,,,,,,,,,
Lithuania,0.34,,,578,,,,,2.73,0.37,
Luxembourg,0.2,,104,,,,,,2.44,4.27,23.18
Madagascar,0,,11,,,,,,,,
Malawi,0.02,,2,,,,,,,,
Malaysia,0.01,,233,,,,,,2.58,0.23,
Maldives,0,,,,,5,,,0.32,0.32,0.32
Mali,0,,5,,,,,,0.04,,0.03
Malta,0.49,,13,,,,,,0.49,3.41,0.49
Marshall Islands,0,,1,,,,,,3.15,0,0
Mauritania,0.03,,3,,,,,,0.03,0.15,
Mauritius,0.08,,,21,,,,,0.77,0,0
Mexico,0.04,,,1740,,,,,0.03,0.05,
Micronesia (Federated States of),0,,,,1,,,,3.6,3.6,0
Monaco,0,,12,,,,,,6.08,6.08,0
Mongolia,0.04,,14,,,,,,1.26,0.26,0.22
Montenegro,0.48,,44,,,,,,,0,
Morocco,0.03,,292,,,,,,0.25,0,
Mozambique,0.01,,9,,,,,,0.35,0.02,0
Myanmar,0,,44,,,,,,0.07,0,0
Namibia,0,,5,,,,,,0.09,0,0.05
Nauru,0,0,,,,,,,9.75,0,0
Nepal,0,,,,,53,,,0.08,0.01,
Netherlands,0.56,,,3126,,,,,1.19,260.08,0.12
New Zealand,0,,,420,,,,,,,
Nicaragua,0.02,51,,,,,,,0.58,0.07,0.27
Niger,0,4,,,,,,,0.03,0.03,0
Nigeria,0.01,,100,,,,,,0.03,,
Niue,0,0,,,,,,,0,69.54,0
Norway,0.39,1494,,,,,,,3.6,,
Oman,0.03,,,67,,,,,0.89,0,0
Pakistan,0,,342,,,,,,2.02,0,0
Palau,0,1,,,,,,,19.48,38.97,0
Panama,0,,,,,,,,2.99,0.03,0
Papua New Guinea,0.01,7,,,,,,,0.29,0.29,0
Paraguay,0.02,,54,,,,,,0.62,0.02,0.05
Peru,0.01,,,168,,,,,2.47,,
Philippines,0,,352,,,,,,0.05,0,0.02
Poland,0.14,,,1952,,,,,3.2,0.65,0.01
Portugal,0.06,,,,,,,659,0.81,0.27,0.2
Qatar,0.07,25,,,,,,,1.06,0.13,0.07
Republic of Korea,2.54,,2483,,,,,,2.35,0.11,0.26
Republic of Moldova,0.08,180,,,,,,,1.51,0.08,
Romania,0.18,1367,,,,,,,0.42,0.2,
Russian Federation,0.26,,16299,,,,,,2.97,0.31,0.01
Rwanda,0.01,,5,,,,,,0.01,0.01,0.01
Saint Kitts and Nevis,0,,,,1,,,,13.37,0,0
Saint Lucia,0.57,,,,3,,,,5.17,0,0
Saint Vincent and the Grenadines,0.92,,,,2,,,,4.58,0,0
Samoa,,,,1,,,,,0.56,0.56,0
San Marino,,5,,,,,,,3.17,6.34,3.17
Sao Tome and Principe,0.6,,1,,,,,,0.6,0.6,0
Saudi Arabia,0.08,,765,,,,,,0.36,0.01,0.01
Senegal,0.04,,42,,,,,,0.08,0,0.01
Serbia,0.05,947,,,,,,,0.73,,
Seychelles,1.18,,2,,,,,,1.18,0,0
Sierra Leone,0.02,,,1,,,,,0,0,0
Singapore,0.02,,136,,,,,,0.06,0.52,0.27
Slovakia,0.17,,,621,,,,,6.39,0.33,4.93
Slovenia,0.3,,143,,,,,,4.59,1.09,2.22
Solomon Islands,0.19,,,,,,,,,0,0
Somalia,0.12,,4,,,,,,0.14,0.01,0
South Africa,0.12,,136,,,,,,6.85,0.16,0.12
South Sudan,,,,,,,,,,,
Spain,0.19,3894,,,,,,,1.15,0.25,
Sri Lanka,0,,,60,,,,,1.36,0.12,0.05
Sudan,0,28,,,,,,,0.04,0,0.02
Suriname,0.19,,,6,,,,,0.76,0.19,0
Sweden,0,,330,,,,,,,,
Switzerland,0.79,,,3146,,,,,5.08,1.46,
Syrian Arab Republic,0.02,,70,,,,,,0.11,0,0.16
Tajikistan,0.21,,96,,,,,,0.69,0.1,
Thailand,0.03,,,302,,,,,0.14,0,0
The former Yugoslav republic of Macedonia,0.2,,,204,,,,,0.93,0.39,0.2
Timor-Leste,,,2,,,,,,,,
Togo,0.01,,,2,,,,,0.1,0.03,0
Tonga,0.96,2,,,,,,,5.75,0,0
Trinidad and Tobago,0.07,,,23,,,,,2.31,0.22,0.6
Tunisia,0.01,,,205,,,,,0.43,0.01,0.77
Turkey,0.01,1616,,,,,,,,0.01,0
Turkmenistan,,,,,,,,,,,
Tuvalu,,,,,,,,,,,
Uganda,0,,31,,,,,,0.08,0,0
Ukraine,0.19,,4592,,,,,,0.07,0.23,
United Arab Emirates,0.02,14,,,,,,,0.06,0,0
United Kingdom of Great Britain and Northern Ireland,,,9220,,,,,,,,
United Republic of Tanzania,0,17,,,,,,,0.28,0,
United States of America,0.25,24758,,,,,,,1.95,,0.65
Uruguay,,,,581,,,,,,,
Uzbekistan,0.04,,,937,,,,,0.09,0.06,0
Vanuatu,0,,,0,,,,,2.44,2.03,0
Venezuela (Bolivarian Republic of),,,,,,,,,,,
Viet Nam,0.04,,900,,,,,,0.07,0,
Yemen,0.02,,,,,,,,0.04,,0.02
Zambia,0.01,4,,,,,,,0.54,0.01,0.03
Zimbabwe,0.03,,7,,,,,,0.02,0.02,0.08
